,CD3,CD4,CD8a,CD11b,CD14,CD15,CD16,CD19,CD20,CD25,CD27,CD28,CD34,CD45RA,CD45RO,CD56,CD62L,CD69,CD80,CD86,CD127,CD137,CD197,CD274,CD278,CD335,PD-1,HLA-DR,TIGIT
CREB1,0.0899169398376421,-0.052296421270865215,0.14563444468964734,-0.02494165498761256,0.008224592807424283,0.02120464286839462,0.0016826080021035215,0.012030959272789483,0.05312716466193148,0.01580161367873973,0.12199687897270378,0.12343637430477492,0.002429760526930738,0.02191866860356836,0.0566559959791865,-0.009331093436243063,0.014297140861432609,0.024467691209486844,0.007288816581127424,0.006091440890682872,0.08486461361899228,0.014755605636869616,0.01557223142875884,0.019816448429958847,0.018338734485792346,0.012969618970499778,0.06466354350833615,0.011905205177739148,0.09568980465835798
JUN,0.08061128130902027,0.13295159948232932,0.023244972631356792,0.04370678021194877,0.011084329212576436,0.025441457404474933,0.050084659719426355,0.024083652100430467,0.019286983891776417,0.020785319914696426,0.03410870801295512,0.027728450393607877,0.002076595915454478,0.06545899150765384,0.03716577551832281,0.07320609421576402,0.045393867106755414,-0.009349177349153219,0.03284241587312435,0.00739588920130533,0.0720181473609053,0.022696771507405893,0.03161369364088378,0.023242828011166405,0.07314254817884522,0.043537325524951855,-0.010477050937965833,0.0077778071625707055,0.06583890231090071
TEAD1,-0.18313692666440876,-0.047796072372108714,-0.1008531515879336,-0.03494337257500482,-0.018669232902733333,-0.05062734223407541,-0.030612818180096174,-0.02979836604699304,-0.07002328913153891,-0.037305430501175435,-0.1916967623875214,-0.11326639736733757,-0.008049193061708032,-0.11596323176409053,-0.041989716192255895,0.015671433655418614,-0.05262504765116242,-0.08385447355751648,-0.029322584581418464,-0.013649998182642535,-0.13685510015378968,-0.033815145455773486,-0.04666120120689374,-0.046033072467909115,-0.08198676542269642,-0.04507696867875739,-0.10394061339669763,-0.020796447954803933,-0.06797852496361749
FOS,0.17432747840903617,0.19540703887218774,0.20046526303488177,0.0848146639696572,0.02080174921969779,0.04302043214815698,0.09935156430255587,0.044067270619112205,0.01383059610824974,0.024279234047592867,0.023448091288476778,-0.02487017210381803,0.01122761624792143,0.09389757949427274,0.1289160237742696,0.28103106485430274,0.05623813116249743,-0.03622597426501204,0.0625781705824136,0.01610680318212463,0.031832842460516514,0.06191037817301946,0.05847071660265292,0.042092122528214725,0.16093815097605704,0.08050603569356567,0.11671862970958385,0.019109073470276683,0.25768082918157453
RXRA,-0.06533977896953759,-0.09304307906672428,-0.1294982784164783,-0.037864934763493216,-0.008228256879649955,-0.017637003840790703,-0.0325419419187649,-0.020041896205497102,-0.007149299169275752,-0.004373519774784532,0.026383683459002497,0.03453337054135907,-0.01434609387497918,-0.07382025599863487,-0.02319783002403984,-0.11393496768543697,-0.006558479213714273,-0.014958700944477673,-0.022915949789317547,-0.004872183905230616,-0.0035151294862387212,-0.012330026062890694,-0.022100941499983397,-0.02918616723675898,-0.08096592223691046,-0.03050352278664534,-0.15620082915684558,-0.0016036991108133608,-0.07832438364952245
PBX3,0.141576113601571,0.04301651342374047,0.015353732059391806,0.06596660432584998,0.010678581459116111,0.02742437541377039,0.03424209461016673,0.015582580890167784,-0.007630010951749438,0.01445846916609442,-0.023406549378711162,-0.06582850952974635,0.00677432659097343,0.055319632181319786,0.04631650492403259,0.080466696995914,0.012501913876851165,0.040683652091601456,0.022782224191122833,0.009694982594450847,-0.03361137864017025,0.03162890097070746,0.02734782939437549,0.01852573571886534,0.07559469950561615,0.030359466303271757,0.03149979758902492,0.018527874405797073,0.030541480136242378
MYC,0.38493816231291034,0.1830278121421639,0.27718974360528104,0.12136292346446033,0.03682831340087603,0.09025158822336632,0.10383551002290108,0.06612318222275491,0.06750360337494735,0.05919924403621008,0.05285323215590263,0.05313254103978075,0.017481192711343154,0.19090198154628385,0.16208508690990792,0.1458977010845607,0.07004311785342399,0.09189306864191138,0.07532017310228462,0.02847426251523202,0.11129314036567692,0.07470214802052015,0.0887391314033027,0.0807164766299354,0.2396129391657062,0.10402577496697553,0.11876322585539771,0.048703277385080464,0.17927260102543202
RARA,0.06545891557864142,-0.019544710121513896,0.009659722030585098,-0.012938750789552507,0.0022971027190127123,0.009039681285451719,-0.008274713036399121,0.0038316039062414623,0.0036475344697041233,0.00034697269150842796,-0.1121037732192655,0.01508822981417521,0.006425595614238743,0.021533468946086338,0.022935909475687827,-0.05396263055483025,-0.02544643957462161,0.035840113465440505,-0.0029483166390166945,0.001811290788322875,-0.02433087051326439,-0.003973838326925272,-0.005023140116010982,0.008749952395065529,0.02253006273293925,-0.0013474492145267717,-0.001989369307136348,0.012748248344689635,-0.003307664918357804
PPARG,0.2354757900912147,0.06169167532102136,0.14856735587416445,0.04720903211611754,0.02131335881070078,0.05412286818084102,0.04206112622688755,0.03408256457427104,0.056104535438363384,0.03872025364393776,0.10321158904134164,0.09726591123552208,0.001584522202249451,0.060644319557145644,0.12771221212174105,0.022106248905340964,0.04115909585411522,0.06453159024906939,0.03613880800450024,0.017882287565049726,0.09774898965276321,0.04792962636947298,0.049792536263117144,0.04212486790546044,0.12729289209326733,0.04702398307084173,0.060186796919633835,0.03381953552205201,0.08614437112129796
PAX6,-0.0023439057424434907,-0.001138083058065504,0.0074091048577119316,0.026863228738927315,-5.2302244786120134e-05,0.00018851492113466565,-0.0039048710638894452,-0.0024840329675969047,-0.00975221903233775,0.0007052601186088042,0.011887131900295712,-0.053763350542314535,-0.0012610819098769896,0.0033494528693573267,-0.02041187121220656,-0.025393417729179284,-0.00020662288561883491,0.028497556149939374,-0.003264909657551638,0.0011926769824420818,-0.028589895448812026,0.00229843585819789,0.003246860762566051,-0.0011387126561159555,0.010729493576973854,-0.004430320013426579,0.013881402047759174,0.0010273463972972463,-0.057756839249684104
SMAD2,-0.14731969371586628,-0.09958607891656683,-0.12667865026874542,-0.0621989838127577,-0.015412762521828563,-0.03460356138719817,-0.0534622891504955,-0.031178634454741946,-0.03573559626125711,-0.025876866138263045,-0.05937363605963882,-0.03995393525888038,-0.010256518794163979,-0.07553888735184387,-0.05925103305283816,-0.1847063919979556,-0.03720304174919029,-0.002855313866855165,-0.04226698229996329,-0.007764798780513948,-0.11541722425458631,-0.014440179335740783,-0.04299298064119511,-0.041152558374122156,-0.0880920759323786,-0.05139968197871873,-0.10577265791523471,0.0008705723552320598,-0.03476988481638948
VDR,0.16602560864324656,0.030188458280733674,0.09723844604346156,0.021221762913763674,0.013806102709621761,0.035851585470043634,0.02020999731195122,0.024770456650275018,0.05170110009200527,0.02714646097490254,0.02635195992552198,0.1080879992127232,0.0066315326029141065,0.05491736524410261,0.06564820768171746,0.02724091515199724,0.015648753593425335,0.04435700912544799,0.02431613550339654,0.00751017372908089,0.12281507326526131,0.003531544296917441,0.028716504336566688,0.03754285047828382,0.0685895757532492,0.030123205350846047,0.05074485124826409,0.010253423885712503,-0.02062496350671842
SP1,-0.3241286773350471,-0.06056982986931564,-0.16973751798078587,-0.07530961448446824,-0.025702507187970382,-0.06657935169143937,-0.05998505336114887,-0.04260397156817637,-0.03866711367177795,-0.03712821274110889,0.04162572515310339,-0.019224577626357812,-0.018884269429939777,-0.141894254459689,-0.12381533395744276,-0.0898263422179808,-0.02078703679380266,-0.09353545325092531,-0.045654359305895384,-0.020396954738667292,-0.0252288065070034,-0.05159187878765538,-0.05399068454868187,-0.05673623106333133,-0.1601728567640064,-0.06604158280697857,-0.08918597226048726,-0.04311792514738544,-0.12831037204166468
RFX5,0.27006673319872837,0.09747365184518877,0.2591213199246201,0.05423917111595248,0.027970362715088477,0.0657083632313545,0.07655294552303722,0.04932693267795536,0.0855918308847748,0.04600333939638169,0.25690634948306357,0.15343587326298522,0.009446380660202813,0.08830147118667966,0.16758630975894925,0.23297080928264638,0.07394073847993614,0.017396637122094282,0.06245398839522265,0.019974004642653573,0.18753598820225878,0.06439912063534403,0.07433800908077615,0.06266382269419588,0.14424232923050387,0.07882540628338817,0.2149323560394796,0.021760065861149626,0.23614576187215924
ETS1,0.14641214240937203,0.03866355012086833,-0.069351408653804,0.09961186985497497,0.010790041909747302,0.029403991152635443,0.03830870765546507,0.013800097264789146,-0.011613241129730858,0.02463703948357044,-0.02632661527090088,-0.09196776942747353,0.00430310964034067,0.08779646248397213,-0.013512155613786008,0.041568962843669996,0.028057129985749142,0.056316063556774244,0.023810827955433825,0.008230190287404805,-0.00842049302148088,0.017801587395293902,0.030539052544188486,0.015747541435201007,0.050879726828439775,0.03482678594444687,-0.0955591896301044,0.013686725892781776,-0.0987080363211478
EPAS1,-0.0066691096093613915,0.08655683223347643,-0.01599326147101415,0.0444303249150914,0.00010230948478361965,-0.0033610397469885393,0.03696489873276003,0.0053896255544467345,-0.04902679708302289,-0.0067494569310157645,-0.19375345700108937,-0.13989769915715322,0.004978689919947784,0.0472994189379264,-0.014757786438907934,0.05793936848942751,-0.0022875532218306713,-0.029544020416199974,0.01163542860434672,0.0013380490411194514,-0.11530774582242996,0.009387578952817721,-2.2150447898801276e-05,-0.006050119408004261,0.03888357158432769,0.020250148978774734,-0.10699240163020658,0.007616070778129133,0.049498204837864594
E2F4,-0.1222861135575859,-0.04088176574275202,0.06925815136116918,-0.05225867130232263,-0.006198471038053548,-0.015215514140834678,-0.034209889253929614,-0.008629829440703132,0.03779934358855151,-0.007274320416027625,0.1754411124543209,0.08618242554442059,0.0016438677740233676,0.002151985381419678,-0.07630129300163158,-0.060263930872669604,0.005533656169587378,0.0035920129533931677,-0.017537567427745766,-0.007550520790687067,0.09030994742338043,-0.02687564315852681,-0.010397498348031463,0.002610125234130023,-0.06172808595235959,-0.020511441842215084,0.1356739304677406,-0.024691997307984565,-0.014661364126747962
NFE2L2,-0.08266784643560433,-0.09016972312565226,0.007735763136987755,-0.060998933257022894,-0.0074952273554267585,-0.01734825076220613,-0.03781192813657121,-0.013441919815852368,0.020022022604235763,-0.009492206969501638,0.06158515328390721,0.07817632611648483,-0.0012632443529503744,-0.033371366637937265,-0.0405258712242433,-0.06180177987889428,-0.01558800030375711,-0.00993768749246024,-0.021302085222009503,-0.007746516564372876,0.04580481116684358,-0.02821883894276389,-0.02101837136257197,-0.008992575060139344,-0.07545872849546081,-0.026937329873535587,0.022907430891757362,-0.015554525830955152,-0.029656823360657815
ARNT,0.14918576641511921,-0.032005844680327133,0.04211423556865893,0.005058910981599633,0.008143340332844756,0.027095629727591206,-0.013970455889357195,0.008086767702114427,0.011978327837248098,0.010945688285929558,-0.08976281240354374,0.011343763566094855,0.003208009483645817,0.02620790054931045,0.06289155447796946,-0.1532419271511513,-0.025320916704997268,0.10464443426928621,-0.004496543577635914,0.010239889254230042,-0.05170285621942901,0.02011146221875652,0.0061779315806636875,0.01578189806023333,0.0728291195162922,-0.002086077164331399,0.012008044709684354,0.03666616077611648,-0.01266881129229613
E2F7,0.26285435510047456,0.18348216868998332,0.2676043084079685,0.1310692940488533,0.030668922692746143,0.07062225756850485,0.11085093775060761,0.0558991130286781,0.05102515941436182,0.054114242205376514,0.14139571378863194,0.0008784059653502891,0.009340557972426463,0.18200814117192238,0.09340445253655692,0.1581486219823825,0.09754063651184688,0.04369561313674083,0.07033032870008629,0.02442582291086436,0.0983692348804624,0.07384009627343525,0.08470907455561301,0.0596560156042886,0.1877341040148887,0.10121299858077679,0.033975240756466255,0.034814787770705166,0.18708973363037087
HIF1A,-0.29349542447021704,-0.0872853931496685,-0.18905195841611963,-0.0578121646881803,-0.028009214372558253,-0.07062768501522888,-0.07920310421270882,-0.04877589433380101,-0.06778144864344655,-0.04861515913795828,-0.08666160435760963,-0.10115510737403291,-0.013422705196726089,-0.1711487733596041,-0.11166339125572607,-0.06925458414258306,-0.06634378171117906,-0.05821596159757996,-0.05416758014473813,-0.021841549908318915,-0.10489686466671942,-0.062662685156176,-0.063438936226389,-0.056712802451776276,-0.14079665740953237,-0.08403307306392267,-0.0066079498021423665,-0.043609319671140914,-0.22580419912098568
TCF25,0.20545857816362517,0.04859887023979308,0.14076399387656877,0.037913795824307484,0.021855457526363486,0.05896192966713318,0.02737242654866904,0.03172448972039147,0.08491895074637053,0.04441810122683701,0.2997717157356069,0.14188378720259867,0.0011022876167152082,0.0904362684202114,0.07980164902750593,-0.054308898265954926,0.06667872629675457,0.10661283306222832,0.029720526096215005,0.018848488824514776,0.15350799666890758,0.055014108738646886,0.0574283957193161,0.04819901027458197,0.10756652824568866,0.04318646145804899,0.1508681105283537,0.030651827246499792,0.09207134954890367
BACH1,-0.04723052233262641,-0.01101975656273101,-0.06992824719633076,-0.03399920321349993,-0.003647861832529642,-0.010717497541677196,-0.00034576669516669614,-0.003738234690489879,0.012733527134949263,0.0007667111014510455,0.03432451714662924,0.08816386195776191,-0.006529881483012013,-0.041381241401160944,0.00030353723353964296,0.040548464877943814,0.011476198129677935,-0.06656980068252237,0.001317367590635157,-0.006038505259826513,0.08508980561025474,-0.018732059749684227,-0.008141893374620833,-0.009505197363357004,-0.05690224446605896,-0.0021929366804983087,-0.08837106198343754,-0.015814329734477526,-0.012570732858943404
IRF8,0.08840418441881386,0.04160046551470185,0.013525819726506953,-0.013516577548283991,0.005674909568575606,0.013068076703594849,0.019416459937835293,0.015096464013998138,0.017430749449992327,0.006048259345770352,-0.08878721162514418,0.08203131241259044,0.006068413306588537,-0.00048303636083140013,0.07898422838155442,0.10505760430007062,-0.007686229900482595,-0.03217730068375579,0.0192594751141936,0.0008916122323140173,0.06371541427439739,-0.004888897462520022,0.006515133194271401,0.017732655897338894,0.034593585390770024,0.019150838585028404,0.018948423023231045,0.0008385931362413077,0.045146934127579696
CTCF,-0.03987240138138456,-0.04928736596532407,0.006042295277965938,-0.013901253828932597,-0.0026257970199961176,-0.006240202548796463,-0.02198167526849278,-0.007948823999402674,0.01793710520045703,0.005576692348653591,0.09543364920322986,0.05424144674767653,-0.011782910294949059,-0.04553544423198252,-0.01565483662744733,-0.09112089401876135,0.008798285897371761,0.006605049716586542,-0.01201974118712828,-0.0017459091448340418,0.054597054875789766,-0.01110841288027773,-0.004099434236046564,-0.00938826665233801,-0.03513773729677965,-0.01776087721032395,-0.05706128205088801,-0.0048214270914287,-0.09219448522787276
HOXA9,-0.013473631245042517,0.04808518725486284,0.106790528784897,-0.06423878566785508,0.0026501015929580323,0.006204782687955474,-0.0020397003570389455,0.012901238502357349,0.051564758189135154,0.0018616188831553767,0.04068658186038758,0.15526998995278962,0.00599281599239863,0.02697287006982986,0.026196229615632557,-0.03087525855887113,0.005470854278845863,-0.014424931196881763,0.004566914323473842,-0.0008447551650894269,0.10800607404617978,-0.009199520394713006,0.00015680972442641195,0.0210072745789363,0.01659857955592844,0.00810626997108198,0.10258626179549307,-0.0030710912921531478,0.11450293731096028
MEF2A,0.06328220426367516,0.05130279565660137,0.053925775857616376,0.05058265104578483,0.007899120395816344,0.018628607099367367,0.02451253422677308,0.013239789878364761,0.014713179987755476,0.0173767970188098,0.06833038166817582,-0.009697058011853107,0.0005202320580085034,0.04578502171867609,0.004428278816094235,0.027530558610519524,0.030066220398378543,0.026663269259076607,0.017379698813160854,0.005793046371431571,0.04440989756408272,0.013232859671889212,0.025233393262057084,0.01664494130487287,0.046982896604955394,0.02321992054036421,0.015426174074834079,0.004052185604007347,-0.024809964173645446
MEF2C,-0.04605419035707285,-0.036655393105079516,0.036023277166196944,-0.04498975788740709,0.0004017307168768382,0.00601982676462351,-0.034000585215111484,0.00012463259479332699,0.07251651445423817,0.013550795239369102,0.23653182414405238,0.16410355720496597,0.00010508346573656778,0.047006679814046416,-0.07987399312762394,-0.16326748959110293,0.027556426072684236,0.055696367745382426,-0.012418938648422083,-0.003133919817211084,0.17245561025653636,-0.025139439038611974,0.0030414742311350067,0.01728299856336203,-0.04780190227042679,-0.009843248035111479,0.08063025114582631,-0.014099287346719145,-0.074571005507197
ZNF639,0.21184120541338425,-0.006463036480292303,0.07756866111406321,0.028589801446659548,0.014877371674119748,0.040794883628893795,0.027957153321495953,0.022433621585409468,0.02399471274470834,0.020370284771076445,-0.033703155813113964,0.024113059927738073,0.013282998037047428,0.0862878285345977,0.07863959197055925,0.03693227594548182,0.0035066719753997395,0.06437326672757544,0.02242244135074485,0.01227484031829218,-0.00040360252470702417,0.03295763110796817,0.02713811345259317,0.03178838631658375,0.07999146450936266,0.03548808027418434,0.0461824376514496,0.03072733570727735,0.10261011623159884
GATA3,0.14708912374492433,0.1435466622515489,0.19259006004383888,0.0849179338149951,0.017873321528294236,0.03983842833108241,0.06471754265381102,0.03732541402218708,0.0328857956750278,0.03190087462209273,0.0012835743666733469,0.0009143413644991357,0.009079041797599904,0.12159993872409948,0.03676996630256061,0.09139311881683539,0.046532820372067026,0.02801961145679819,0.043401435256834174,0.011382715734705768,0.08502778765313887,0.019016452268153263,0.04759628238995427,0.043815787570939915,0.12470589088868095,0.060057667195691035,0.024107229039107374,0.01113119861752632,0.024649867908939423
MYB,-0.0960603912019675,0.0018171284246478667,0.011275689042774083,-0.017882047431389412,-0.0018804800905860128,-0.007478019943362608,-0.0014944259363713747,-0.005984797808039855,0.02675202201191518,0.0058530299719300105,0.2980777221646074,0.07435752696278841,-0.016474260378928657,-0.05287165335145058,-0.005852432908061466,-0.010707162550383528,0.05263850337227054,-0.03782858693013673,-0.0016765389537400726,0.0005507832055511052,0.08532788581987072,0.02073453039980808,0.010025106852338332,-0.012621022715793294,-0.03877254288446084,-0.0043554565484255105,0.023523820078451173,-0.009189652222892837,0.06728486039761766
E2F1,-0.0324235322852285,-0.010199801901221413,0.031942492272656164,-0.0013263518378806708,0.00048696857925809007,8.38457860049745e-05,0.00890143836959701,0.0011759886253599429,0.01668818586398542,0.007501635809719414,0.08958650238410872,0.02630062142859133,-0.0018768858735856988,0.03784683448830791,-0.04397533964267857,-0.025457864917403084,0.029254920570552827,-0.011209673336732619,0.0015947686770339414,-0.0002578420550699416,0.043089562386142886,9.686123112611092e-05,0.004889570752520399,-0.0012654997506370855,-0.028350830968437823,0.009712080274206999,-0.06824635745300402,-0.0032917544280397816,0.027287685658721878
NFKB1,0.19559173805505464,0.06849803371509226,0.1161456374183128,0.11667984185522175,0.015711100452198642,0.033824241286788646,0.07153113394602838,0.028630691490769473,-0.01180543387876342,0.023154094480063843,-0.09818572256193886,-0.10787557888030261,0.013582891253840596,0.09421644899860027,0.05182256025090463,0.2452071238063775,0.020621332734832465,0.005278637692899799,0.04551233933508682,0.009619307810481975,-0.007732506919625438,0.020777752405986234,0.04225731712503427,0.031019777200845536,0.09825635976267351,0.058755515207191515,-0.008820819800642624,0.008457023729142601,0.001987629768181027
